POLITICAL_UNIT,NAME,WGMS_ID,YEAR,SURVEY_DATE,HIGHEST_ELEVATION,MEDIAN_ELEVATION,LOWEST_ELEVATION,ELEVATION_UNC,LENGTH,LENGTH_UNC,AREA,AREA_UNC,SURVEY_PLATFORM_METHOD,INVESTIGATOR,SPONS_AGENCY,REFERENCE,REMARKS
AF,PIR YAKH,10452,2018,20189999,5070.0,,4400.0,,2.0999999,,1.6799999,,,"Abeer Ahmad Sajood, Hedayatullah Arian","Hydrometeorology Department, Geoscience Faculty of Kabul University, Afghanistan",,Information derived from field report.
AQ,ADAMS,885,1989,19899999,,,,,10.0,,5.73,,cC,,,WGMS (1993): FoG 1985-1990 (Vol. VI).,
AQ,ADAMS,885,1990,19909999,1200.0,785.0,370.0,,,,,,,,,WGMS (1993): FoG 1985-1990 (Vol. VI).,
AQ,ALBERICH,1062,1975,19759999,1800.0,1560.0,1400.0,,1.3,,1.36,,,,,,
AQ,ASTROLABE,3354,1947,19479999,,,,,,,83.5,,,,,,
AQ,ASTROLABE,3354,1963,19639999,,,,,,,75.0,,,,,,
AQ,ASTROLABE,3354,1973,19739999,,,,,,,78.900002,,,,,,
AQ,ASTROLABE,3354,1985,19859999,,,,,,,70.0,,,,,,
AQ,ASTROLABE,3354,1989,19899999,,,,,,,70.75,,,,,,
AQ,BAHIA DEL DIABLO,2665,2004,20040201,630.0,390.0,50.0,0.5,7.5999999,0.0099999998,,,xX,"Pedro Skvarca, Evgeniy Ermolin","División Glaciología, Instituto Antártico Argentino, Cerrito 1248, C1010AAZ Buenos Aires, Argentina",,Survey method: Combination of geodetic ground survey and GPS survey
AQ,BAHIA DEL DIABLO,2665,2008,20089999,,,,,,,14.3,,,"Pedro Skvarca, Evgeniy Ermolin, Sebastián Marinsek",,,
AQ,BAHIA DEL DIABLO,2665,2010,20100228,630.0,390.0,50.0,0.5,7.5999999,0.0099999998,14.3,,xX,"Pedro Skvarca, Evgeniy Ermolin, Sebastián Marinsek","División Glaciología, Instituto Antártico Argentino, Cerrito 1248, C1010AAZ Buenos Aires, Argentina",WGMS (2012): FoG 2005-2010 (Vol. X).,Survey method: Combination of geodetic ground survey and GPS survey
AQ,BAHIA DEL DIABLO,2665,2014,20140301,630.0,390.0,50.0,0.5,7.5999999,0.0099999998,12.9,0.23,cG,"Evgeniy Ermolin, Sebastián Marinsek, José Luis Seco","Departamento de Glaciología, Instituto Antártico Argentino, Balcarce 290, C1064AAF Buenos Aires, Argentina",,Survey method: Combination of geodetic ground survey and GPS survey with satellite images and DEMs
AQ,BAHIA DEL DIABLO,2665,2015,20150226,630.0,390.0,50.0,0.5,7.5999999,0.0099999998,12.9,0.23,cC,"Sebastián Marinsek, José Luis Seco, Evgeniy Ermolin","Departamento de Glaciología, Instituto Antártico Argentino, Av. 25 de Mayo 1143, San Martín, Buenos Aires, Argentina",,Survey method: Combination of geodetic ground survey and GPS survey with satellite images and DEMs
AQ,BAHIA DEL DIABLO,2665,2016,20160228,630.0,390.0,50.0,1.0,7.5999999,0.0099999998,12.9,0.23,cG,"Sebastián Marinsek, José Luis Seco, Evgeniy Ermolin","Departamento de Glaciología, Instituto Antártico Argentino, 25 de Mayo 1143, San Martín, Buenos Aires, Argentina",,Survey method: Combination of geodetic ground survey and GPS survey with satellite images and DEMs
AQ,BAHIA DEL DIABLO,2665,2020,20209999,630.0,390.0,50.0,0.5,7.6,0.01,12.9,0.2,cC,"Sebastián Marinsek, José Luis Seco, Evgeniy Ermolin","Departamento de Glaciología, Instituto Antártico Argentino, 25 de Mayo 1143, Gral. San Martín, Buenos Aires, Argentina",,Survey method: Combination of geodetic ground survey and GPS survey with satellite images and DEMs
AQ,BAHIA DEL DIABLO,2665,2023,20230228,630.0,390.0,50.0,0.5,7.5,0.01,12.81,0.2,cC,"Sebastián Marinsek, Margonari Liliana, Puigdomenech Carla","Departamento de Glaciología, Instituto Antártico Argentino, 25 de Mayo 1143, Gral. San Martín, Buenos Aires, Argentina",,Survey method: Combination of geodetic ground survey and GPS survey with satellite images and DEMs
AQ,BARRE,3355,1947,19479999,,,,,,,6.0999999,,,,,,
AQ,BARRE,3355,1963,19639999,,,,,,,5.25,,,,,,
AQ,BARRE,3355,1973,19739999,,,,,,,4.3499999,,,,,,
AQ,BARRE,3355,1985,19859999,,,,,,,2.0999999,,,,,,
AQ,BARRE,3355,1989,19899999,,,,,,,4.5,,,,,,
AQ,BARRE,3355,1996,19969999,,,,,,,7.9000001,,,,,,
AQ,BARTLEY,893,1970,19709999,,1350.0,,,12.5,,,,,,,,
AQ,BARTLEY,893,1975,19759999,2000.0,,220.0,,,,,,,,,,
AQ,BELLINGSHAUSEN,6833,2012,20129999,250.0,,0.0,,4.0,,,,sZ,,,"Mavlyudov, B.R., Led i Sneg, 1(125), 2014",
AQ,BIRLEY,4515,2006,20069999,,,,,,,17.299999,,aP,,,"Kunz M, King M.A., Mills J.P., Miller P.E., Fox A.J., Vaughan D.G. & Marsh S.H. (2012). Multi-decadal glacier surface lowering in the Antarctic Peninsula. Geophysical Research Letters, 39, L19502.",
AQ,BYRD STATION,1064,1975,19759999,,,,,,,480.0,,,,,,
AQ,CANADA,877,1977,19779999,1800.0,750.0,50.0,,12.1,,,,,,,,
AQ,CLARK CPI,894,1970,19709999,1790.0,850.0,460.0,,10.5,,,,,,,,
AQ,COLEY GLACIER,4247,2001,20019999,1273.0,501.0,13.0,,16.0,,129.39999,,,,,,Data from Leclercq.
AQ,COMMANDANT CHARCOT,3356,1947,19479999,,,,,,,51.049999,,,,,,
AQ,COMMANDANT CHARCOT,3356,1963,19639999,,,,,,,77.349998,,,,,,
AQ,COMMANDANT CHARCOT,3356,1973,19739999,,,,,,,37.0,,,,,,
AQ,COMMANDANT CHARCOT,3356,1989,19899999,,,,,,,33.75,,,,,,
AQ,COMMANDANT CHARCOT,3356,1996,19969999,,,,,,,32.799999,,,,,,
AQ,COMMONWEALTH,878,1977,19779999,1750.0,750.0,25.0,,14.5,,,,,,,,
AQ,COMMONWEALTH,878,2013,20139999,1200.0,,50.0,,,,52.200001,,,,,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86.",
AQ,DAVIES DOME,10404,1979,19799999,,,,,,,6.23,0.050000001,,"Engel, Z.; Nývlt, D.; Láska, K.","Czech Geological Survey, Department of Physical Geography and Geoecology, Charles University in Prague","Engel et al. (2012), Journal of Glaciology, Vol. 58, No. 211, doi: 10.3189/2012JoG11J156",
AQ,DAVIES DOME,10404,2006,20069999,515.0,368.0,124.0,1.0,3.4300001,,4.9400001,0.0099999998,cC,"Engel, Z.; Nývlt, D.; Láska, K.","Czech Geological Survey, Department of Physical Geography and Geoecology, Charles University in Prague","Engel et al. (2012), Journal of Glaciology, Vol. 58, No. 211, doi: 10.3189/2012JoG11J156",area of whole Davies Dome including outlet glacier = 6.49 +/- 0.01 km2
AQ,DIBBLE,3357,1963,19639999,,,,,,,1612.0,,,,,,
AQ,DIBBLE,3357,1973,19739999,,,,,,,1580.0,,,,,,
AQ,DIBBLE,3357,1989,19899999,,,,,,,1528.0,,,,,,
AQ,DIBBLE,3357,1996,19969999,,,,,,,1585.0,,,,,,
AQ,DIBBLE,3357,1997,19979999,,,,,,,1587.0,,,,,,
AQ,E SKEP PT. G,4248,2001,20019999,664.0,276.0,4.0,,4.48,,15.19,,,,,,Data from Leclercq.
AQ,E WILKES LAND,884,1980,19809999,3210.0,,0.0,,,,,,,,,,
AQ,FINGER,873,1977,19779999,1750.0,1450.0,550.0,,6.4000001,,,,,,,,
AQ,FRANCAIS,3358,1947,19479999,,,,,,,85.300003,,,,,,
AQ,FRANCAIS,3358,1963,19639999,,,,,,,95.099998,,,,,,
AQ,FRANCAIS,3358,1973,19739999,,,,,,,92.300003,,,,,,
AQ,FRANCAIS,3358,1989,19899999,,,,,,,90.5,,,,,,
AQ,FRANCAIS,3358,1996,19969999,,,,,,,106.3,,,,,,
AQ,FROST,3359,1963,19639999,,,,,,,524.40002,,,,,,
AQ,FROST,3359,1989,19899999,,,,,,,556.90002,,,,,,
AQ,FROST,3359,1997,19979999,,,,,,,422.29999,,,,,,
AQ,GOODSPEED,888,1975,19759999,1700.0,,525.0,,,,,,,,,,
AQ,GOURDON,4249,2001,20019999,1564.0,707.0,18.0,,17.77,,97.389999,,,,,,Data from Leclercq.
AQ,HART,889,1975,19759999,1700.0,,370.0,,,,,,,,,,
AQ,HEIMDALL,890,1971,19719999,1800.0,,1200.0,,6.0,,7.96,,,,,,
AQ,HEIMDALL,890,1975,19759999,1800.0,,1200.0,,6.0,,7.96,,,,,,
AQ,HOBBS,4250,2001,20019999,1582.0,667.0,10.0,,15.31,,107.12,,,,,,Data from Leclercq.
AQ,HOWARD,3973,2013,20139999,1000.0,,300.0,,,,8.3000002,,,,,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86.",
AQ,HURD,3367,1956,19569999,,,,,,,5.2399998,,,,,,
AQ,HURD,3367,2009,20099999,334.0,,4.0,,,,,,,,,,
AQ,HURD,3367,2010,20109999,334.0,,4.0,,,,4.0339999,,,,,,
AQ,HURD,3367,2013,20139999,334.0,,4.0,,,,4.0339999,,,Francisco Navarro,"Universidad Politécnica de Madrid (UPM)-ETSI Telecomunicación, Av. Complutense, 30, 28040 Madrid, Spain",WGMS (2015): GGCB No. 1 (2012-2013).,
AQ,HURD,3367,2014,20149999,334.0,,4.0,,,,4.0339999,,,Francisco Navarro,"Universidad Politécnica de Madrid (UPM)-ETSI Telecomunicación, Av. Complutense, 30, 28040 Madrid, Spain",,
AQ,HURD,3367,2015,20159999,334.0,,4.0,,,,4.0339999,,,Francisco Navarro,"Universidad Politécnica de Madrid (UPM)-ETSI Telecomunicación, Av. Complutense, 30, 28040 Madrid, Spain",,
AQ,HURD,3367,2016,20169999,334.0,,4.0,,,,4.0339999,,,Francisco Navarro,"Universidad Politécnica de Madrid (UPM)-ETSI Telecomunicación, Av. Complutense, 30, 28040 Madrid, Spain",,
AQ,HURLEY,4251,2001,20019999,1749.0,942.0,13.0,,11.85,,79.360001,,,,,,Data from Leclercq.
AQ,JEREMY SYKES,1063,1975,19759999,2040.0,1500.0,1170.0,,7.5999999,,9.9200001,,,,,,
AQ,JOHNSONS,3366,1956,19569999,,,,,,,5.6199999,,,,,,
AQ,JOHNSONS,3366,2009,20099999,356.0,,0.0,,,,,,,,,,
AQ,JOHNSONS,3366,2010,20109999,356.0,,0.0,,,,5.3579998,,,,,,
AQ,JOHNSONS,3366,2013,20139999,356.0,,0.0,,,,5.3579998,,,Francisco Navarro,"Universidad Politécnica de Madrid (UPM)-ETSI Telecomunicación, Av. Complutense, 30, 28040 Madrid, Spain",WGMS (2015): GGCB No. 1 (2012-2013).,
AQ,JOHNSONS,3366,2014,20149999,356.0,,0.0,,,,5.3579998,,,Francisco Navarro,"Universidad Politécnica de Madrid (UPM)-ETSI Telecomunicación, Av. Complutense, 30, 28040 Madrid, Spain",,
AQ,JOHNSONS,3366,2015,20159999,356.0,,0.0,,,,5.3579998,,,Francisco Navarro,"Universidad Politécnica de Madrid (UPM)-ETSI Telecomunicación, Av. Complutense, 30, 28040 Madrid, Spain",,
AQ,JOHNSONS,3366,2016,20169999,356.0,,0.0,,,,5.3579998,,,Francisco Navarro,"Universidad Politécnica de Madrid (UPM)-ETSI Telecomunicación, Av. Complutense, 30, 28040 Madrid, Spain",,
AQ,KALESNIKA,1434,1975,19759999,4340.0,,2940.0,,7.0999999,,14.7,,,,,,
AQ,KEMP LAND,883,1965,19659999,2800.0,,,,,,,,,,,,
AQ,KEMP LAND,883,1978,19789999,,,0.0,,,,,,,,,,
AQ,LA CROIX,875,1977,19779999,2000.0,1500.0,150.0,,9.1000004,,,,,,,,
AQ,LAMBERT BASIN,882,1970,19709999,4050.0,,,,,,,,,,,,
AQ,LAMBERT BASIN,882,1971,19719999,,,88.0,,,,,,,,,,
AQ,LIOTARD,3360,1947,19479999,,,,,,,33.5,,,,,,
AQ,LIOTARD,3360,1963,19639999,,,,,,,28.549999,,,,,,
AQ,LIOTARD,3360,1973,19739999,,,,,,,31.85,,,,,,
AQ,LIOTARD,3360,1985,19859999,,,,,,,25.25,,,,,,
AQ,LIOTARD,3360,1989,19899999,,,,,,,24.65,,,,,,
AQ,MARRET,3361,1947,19479999,,,,,,,28.4,,,,,,
AQ,MARRET,3361,1963,19639999,,,,,,,20.5,,,,,,
AQ,MARRET,3361,1973,19739999,,,,,,,26.85,,,,,,
AQ,MARRET,3361,1989,19899999,,,,,,,17.25,,,,,,
AQ,MARRET,3361,1996,19969999,,,,,,,22.549999,,,,,,
AQ,MAY,3362,1963,19639999,,,,,,,203.0,,,,,,
AQ,MAY,3362,1973,19739999,,,,,,,228.0,,,,,,
AQ,MAY,3362,1989,19899999,,,,,,,165.0,,,,,,
AQ,MAY,3362,1997,19979999,,,,,,,190.0,,,,,,
AQ,MESERVE MPII,892,1965,19659999,,,,,7.1999998,,9.8999996,,,,,,
AQ,MESERVE MPII,892,1970,19709999,1750.0,1300.0,340.0,,,,,,,,,,
AQ,MIERS,886,1989,19899999,,,,,6.5500002,,5.8899999,,cC,,,WGMS (1993): FoG 1985-1990 (Vol. VI).,
AQ,MIERS,886,1990,19909999,1000.0,650.0,350.0,,,,,,,,,WGMS (1993): FoG 1985-1990 (Vol. VI).,
