Number,Volcano Name,Country,Region,Latitude,Longitude,Elev,Type,Status,Last Known
0803-001,Abu,Japan,Honshu-Japan,34.5,131.6,571.0,Shield volcano,Holocene,Unknown
1505-096,Acamarachi,Chile,Chile-N,-23.3,-67.62,6046.0,Stratovolcano,Holocene,Unknown
1402-08=,Acatenango,Guatemala,Guatemala,14.501,-90.876,3976.0,Stratovolcano,Historical,D1
0103-004,Acigol-Nevsehir,Turkey,Turkey,38.57,34.52,1689.0,Maar,Holocene,U
1201-04-,Adams,United States,US-Washington,46.206,-121.49,3742.0,Stratovolcano,Tephrochronology,D6
0803-17=,Adatara,Japan,Honshu-Japan,37.62,140.28,1718.0,Stratovolcano,Historical,D1
0201-17=,Adwa,Ethiopia,Africa-NE,10.07,40.84,1733.0,Stratovolcano,Holocene,U
0201-11=,Afdera,Ethiopia,Africa-NE,13.08,40.85,1295.0,Stratovolcano,Holocene,Unknown
0104-07-,Agmagan-Karadag,Armenia,Armenia,40.275,44.75,3560.0,Volcanic field,Holocene,U
0804-16=,Agrigan,United States,Mariana Is-C Pacific,18.77,145.67,965.0,Stratovolcano,Historical,D2
1402-10=,Agua,Guatemala,Guatemala,14.465,-90.743,3760.0,Stratovolcano,Holocene,U
1802-09=,Agua de Pau,Portugal,Azores,37.77,-25.47,947.0,Stratovolcano,Historical,D5
1508-062,Aguilera,Chile,Chile-S,-50.17,-73.83,0.0,Stratovolcano,Radiocarbon,D7
0604-02=,Agung,Indonesia,Lesser Sunda Is,-8.342,115.508,3142.0,Stratovolcano,Historical,D1
0804-141,Ahyi,United States,Mariana Is-C Pacific,20.42,145.03,-137.0,Submarine volcano,Uncertain,U
1000-125,Akademia Nauk,Russia,Kamchatka,53.983,159.45,1180.0,Stratovolcanoes,Historical,D2
1000-123,Akademia Nauk,Russia,Kamchatka,53.98,159.45,1180.0,Stratovolcano,Historical,D1
0803-13=,Akagi,Japan,Honshu-Japan,36.53,139.18,1828.0,Stratovolcano,Historical,D6
0805-07=,Akan,Japan,Hokkaido-Japan,43.38,144.02,1499.0,Caldera,Historical,D1
1000-32-,Akhtang,Russia,Kamchatka,55.43,158.65,1956.0,Shield volcano,Holocene,U
0803-23=,Akita-Komaga-take,Japan,Honshu-Japan,39.75,140.8,1637.0,Stratovolcano,Historical,D1
0803-26=,Akita-Yake-yama,Japan,Honshu-Japan,39.97,140.77,1366.0,Complex volcano,Historical,D1
0802-021,Akuseki-jima,Japan,Ryukyu Is,29.45,129.6,586.0,Stratovolcano,Holocene,U
0802-022,Akuseki-jima,Japan,Ryukyu Is,29.461,129.597,584.0,Stratovolcanoes,Holocene?,?
1101-32-,Akutan,United States,Aleutian Is,54.13,-165.97,1303.0,Stratovolcano,Historical,D1
0900-39=,Alaid,Russia,Kuril Is,50.858,155.55,2339.0,Stratovolcano,Historical,D1
0804-18=,Alamagan,United States,Mariana Is-C Pacific,17.6,145.83,744.0,Stratovolcano,Radiocarbon,D6
0201-112,Alayta,Ethiopia,Africa-NE,12.88,40.57,1501.0,Shield volcano,Historical,D2
0101-004,"Albano, Monte",Italy,Italy,41.73,12.7,949.0,Caldera,Holocene,Unknown
